Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,CHESHIRE WEST AND CHESTER,2022,Entries,Places,8.0
For-profit,CHESHIRE WEST AND CHESTER,2021,Entries,Children's homes,1.0
Local Authority,CHESHIRE WEST AND CHESTER,2018,Exits,Places,4.0
Local Authority,CHESHIRE WEST AND CHESTER,2018,Net change,Places,-4.0
Local Authority,CHESHIRE WEST AND CHESTER,2018,Net change,Children's homes,-2.0
For-profit,CHESHIRE WEST AND CHESTER,2019,Net change,Places,2.0
For-profit,CHESHIRE WEST AND CHESTER,2023,Entries,Places,2.0
For-profit,CHESHIRE WEST AND CHESTER,2021,Entries,Places,4.0
For-profit,CHESHIRE WEST AND CHESTER,2022,Exits,Children's homes,2.0
For-profit,CHESHIRE WEST AND CHESTER,2022,Net change,Children's homes,0.0
For-profit,CHESHIRE WEST AND CHESTER,2021,Net change,Places,4.0
For-profit,CHESHIRE WEST AND CHESTER,2020,Net change,Places,18.0
For-profit,CHESHIRE WEST AND CHESTER,2023,Net change,Places,2.0
For-profit,CHESHIRE WEST AND CHESTER,2023,Entries,Children's homes,1.0
For-profit,CHESHIRE WEST AND CHESTER,2014,Exits,Places,0.0
For-profit,CHESHIRE WEST AND CHESTER,2016,Entries,Places,3.0
For-profit,CHESHIRE WEST AND CHESTER,2016,Entries,Children's homes,1.0
For-profit,CHESHIRE WEST AND CHESTER,2019,Net change,Children's homes,1.0
Local Authority,CHESHIRE WEST AND CHESTER,2020,Entries,Children's homes,1.0
Local Authority,CHESHIRE WEST AND CHESTER,2020,Net change,Children's homes,1.0
For-profit,CHESHIRE WEST AND CHESTER,2020,Net change,Children's homes,4.0
For-profit,CHESHIRE WEST AND CHESTER,2023,Net change,Children's homes,1.0
For-profit,CHESHIRE WEST AND CHESTER,2020,Entries,Places,18.0
Local Authority,CHESHIRE WEST AND CHESTER,2020,Net change,Places,2.0
For-profit,CHESHIRE WEST AND CHESTER,2020,Entries,Children's homes,4.0
Local Authority,CORNWALL,2018,Exits,Children's homes,2.0
Local Authority,CORNWALL,2021,Net change,Places,-23.0
For-profit,CORNWALL,2021,Entries,Children's homes,2.0
For-profit,CORNWALL,2022,Net change,Children's homes,0.0
Third Sector,CORNWALL,2022,Net change,Children's homes,-1.0
For-profit,CORNWALL,2018,Entries,Places,7.0
Third Sector,CORNWALL,2019,Entries,Children's homes,1.0
Third Sector,CORNWALL,2020,Entries,Children's homes,1.0
Third Sector,CORNWALL,2019,Net change,Places,6.0
For-profit,CORNWALL,2017,Entries,Children's homes,1.0
Third Sector,CORNWALL,2015,Exits,Children's homes,1.0
For-profit,CORNWALL,2022,Net change,Places,-4.0
For-profit,CORNWALL,2017,Net change,Children's homes,1.0
Third Sector,CORNWALL,2020,Net change,Places,3.0
Local Authority,CORNWALL,2021,Entries,Children's homes,1.0
For-profit,CORNWALL,2018,Entries,Children's homes,2.0
For-profit,CORNWALL,2022,Entries,Children's homes,2.0
Third Sector,CORNWALL,2019,Net change,Children's homes,1.0
For-profit,CORNWALL,2022,Exits,Places,8.0
Third Sector,CORNWALL,2018,Exits,Children's homes,1.0
Third Sector,CORNWALL,2019,Entries,Places,6.0
Local Authority,CORNWALL,2021,Entries,Places,3.0
For-profit,CORNWALL,2021,Net change,Places,5.0
For-profit,CORNWALL,2021,Net change,Children's homes,2.0
Third Sector,CORNWALL,2022,Exits,Children's homes,1.0
Third Sector,CORNWALL,2020,Net change,Children's homes,1.0
Third Sector,CORNWALL,2022,Net change,Places,-6.0
Third Sector,CORNWALL,2022,Exits,Places,6.0
Local Authority,CORNWALL,2021,Net change,Children's homes,-2.0
For-profit,CORNWALL,2021,Entries,Places,5.0
For-profit,CORNWALL,2018,Net change,Children's homes,2.0
For-profit,CORNWALL,2022,Exits,Children's homes,2.0
Local Authority,CORNWALL,2018,Net change,Children's homes,-2.0
Third Sector,CORNWALL,2018,Net change,Children's homes,-1.0
Local Authority,CORNWALL,2015,Exits,Places,0.0
For-profit,CORNWALL,2016,Entries,Places,6.0
Local Authority,CORNWALL,2018,Exits,Places,4.0
For-profit,CORNWALL,2016,Entries,Children's homes,2.0
For-profit,CORNWALL,2018,Net change,Places,7.0
Local Authority,CORNWALL,2014,Exits,Children's homes,3.0
Local Authority,CORNWALL,2018,Net change,Places,-4.0
Local Authority,CORNWALL,2015,Exits,Children's homes,1.0
For-profit,CORNWALL,2017,Entries,Places,5.0
Third Sector,CORNWALL,2020,Entries,Places,3.0
Local Authority,CORNWALL,2021,Exits,Places,26.0
For-profit,CORNWALL,2022,Entries,Places,4.0
Third Sector,CORNWALL,2018,Net change,Places,-1.0
For-profit,CORNWALL,2017,Net change,Places,5.0
Third Sector,CORNWALL,2015,Exits,Places,0.0
Third Sector,CORNWALL,2018,Exits,Places,1.0
Local Authority,CORNWALL,2014,Exits,Places,0.0
Local Authority,CORNWALL,2021,Exits,Children's homes,3.0
For-profit,COVENTRY,2021,Net change,Places,-3.0
For-profit,COVENTRY,2019,Entries,Children's homes,2.0
Local Authority,COVENTRY,2018,Entries,Places,4.0
For-profit,COVENTRY,2021,Net change,Children's homes,0.0
For-profit,COVENTRY,2020,Entries,Places,4.0
For-profit,COVENTRY,2020,Exits,Children's homes,2.0
For-profit,COVENTRY,2022,Entries,Children's homes,1.0
Local Authority,COVENTRY,2017,Exits,Children's homes,2.0
For-profit,COVENTRY,2020,Net change,Places,0.0
For-profit,COVENTRY,2020,Entries,Children's homes,1.0
For-profit,COVENTRY,2020,Exits,Places,4.0
For-profit,COVENTRY,2017,Net change,Children's homes,1.0
For-profit,COVENTRY,2015,Exits,Places,0.0
For-profit,COVENTRY,2016,Exits,Places,6.0
For-profit,COVENTRY,2019,Net change,Children's homes,2.0
For-profit,COVENTRY,2016,Exits,Children's homes,1.0
For-profit,COVENTRY,2020,Net change,Children's homes,-1.0
For-profit,COVENTRY,2021,Exits,Children's homes,2.0
Local Authority,COVENTRY,2019,Net change,Places,8.0
Local Authority,COVENTRY,2018,Net change,Children's homes,1.0
For-profit,COVENTRY,2015,Exits,Children's homes,4.0
For-profit,COVENTRY,2021,Entries,Children's homes,2.0
For-profit,COVENTRY,2017,Entries,Places,3.0
Local Authority,COVENTRY,2019,Entries,Places,8.0
For-profit,COVENTRY,2022,Entries,Places,5.0
For-profit,COVENTRY,2021,Entries,Places,7.0
Local Authority,COVENTRY,2019,Entries,Children's homes,2.0
For-profit,COVENTRY,2022,Net change,Places,5.0
For-profit,COVENTRY,2017,Entries,Children's homes,1.0
Local Authority,COVENTRY,2017,Net change,Places,-8.0
For-profit,COVENTRY,2019,Entries,Places,6.0
Local Authority,COVENTRY,2017,Exits,Places,8.0
Local Authority,COVENTRY,2019,Net change,Children's homes,2.0
For-profit,COVENTRY,2019,Net change,Places,6.0
For-profit,COVENTRY,2017,Net change,Places,3.0
Local Authority,COVENTRY,2018,Entries,Children's homes,1.0
Local Authority,COVENTRY,2017,Net change,Children's homes,-2.0
Local Authority,COVENTRY,2018,Net change,Places,4.0
For-profit,COVENTRY,2022,Net change,Children's homes,1.0
For-profit,COVENTRY,2021,Exits,Places,10.0
For-profit,CROYDON,2022,Entries,Places,13.0
For-profit,CROYDON,2023,Net change,Places,5.0
For-profit,CROYDON,2022,Net change,Places,13.0
For-profit,CROYDON,2021,Net change,Children's homes,1.0
For-profit,CROYDON,2022,Net change,Children's homes,3.0
For-profit,CROYDON,2021,Entries,Children's homes,3.0
For-profit,CROYDON,2023,Net change,Children's homes,1.0
For-profit,CROYDON,2018,Entries,Places,3.0
For-profit,CROYDON,2018,Entries,Children's homes,1.0
For-profit,CROYDON,2020,Net change,Children's homes,2.0
For-profit,CROYDON,2020,Entries,Children's homes,2.0
For-profit,CROYDON,2017,Exits,Places,12.0
For-profit,CROYDON,2016,Exits,Places,6.0
For-profit,CROYDON,2021,Entries,Places,15.0
For-profit,CROYDON,2017,Exits,Children's homes,4.0
For-profit,CROYDON,2016,Exits,Children's homes,2.0
For-profit,CROYDON,2014,Exits,Children's homes,2.0
For-profit,CROYDON,2023,Entries,Places,5.0
For-profit,CROYDON,2022,Entries,Children's homes,3.0
For-profit,CROYDON,2018,Net change,Places,-2.0
For-profit,CROYDON,2018,Net change,Children's homes,-1.0
For-profit,CROYDON,2017,Entries,Places,9.0
For-profit,CROYDON,2021,Exits,Children's homes,2.0
For-profit,CROYDON,2014,Exits,Places,0.0
For-profit,CROYDON,2021,Exits,Places,7.0
For-profit,CROYDON,2020,Entries,Places,6.0
For-profit,CROYDON,2018,Exits,Places,5.0
For-profit,CROYDON,2023,Entries,Children's homes,1.0
For-profit,CROYDON,2018,Exits,Children's homes,2.0
For-profit,CROYDON,2017,Entries,Children's homes,1.0
For-profit,CROYDON,2020,Net change,Places,6.0
For-profit,CROYDON,2017,Net change,Places,-3.0
For-profit,CROYDON,2017,Net change,Children's homes,-3.0
For-profit,CROYDON,2021,Net change,Places,8.0
For-profit,CUMBRIA,2017,Entries,Children's homes,9.0
For-profit,CUMBRIA,2015,Exits,Children's homes,1.0
For-profit,CUMBRIA,2023,Exits,Places,1.0
Local Authority,CUMBRIA,2023,Net change,Children's homes,1.0
Local Authority,CUMBRIA,2020,Entries,Places,4.0
For-profit,CUMBRIA,2019,Entries,Places,13.0
For-profit,CUMBRIA,2023,Exits,Children's homes,1.0
For-profit,CUMBRIA,2019,Net change,Children's homes,-4.0
Third Sector,CUMBRIA,2017,Entries,Places,10.0
For-profit,CUMBRIA,2021,Exits,Places,4.0
For-profit,CUMBRIA,2018,Net change,Places,7.0
For-profit,CUMBRIA,2018,Net change,Children's homes,0.0
Local Authority,CUMBRIA,2021,Entries,Children's homes,1.0
For-profit,CUMBRIA,2017,Exits,Places,3.0
For-profit,CUMBRIA,2019,Exits,Children's homes,7.0
For-profit,CUMBRIA,2022,Net change,Children's homes,4.0
For-profit,CUMBRIA,2018,Entries,Children's homes,2.0
For-profit,CUMBRIA,2019,Entries,Children's homes,3.0
For-profit,CUMBRIA,2022,Exits,Children's homes,8.0
For-profit,CUMBRIA,2018,Entries,Places,10.0
Local Authority,CUMBRIA,2022,Entries,Children's homes,2.0
Third Sector,CUMBRIA,2022,Exits,Children's homes,2.0
Local Authority,CUMBRIA,2021,Entries,Places,4.0
Local Authority,CUMBRIA,2023,Net change,Places,6.0
Third Sector,CUMBRIA,2022,Exits,Places,10.0
Local Authority,CUMBRIA,2019,Entries,Children's homes,1.0
For-profit,CUMBRIA,2021,Exits,Children's homes,2.0
Local Authority,CUMBRIA,2014,Exits,Places,0.0
For-profit,CUMBRIA,2022,Exits,Places,41.0
For-profit,CUMBRIA,2016,Entries,Children's homes,2.0
Local Authority,CUMBRIA,2020,Entries,Children's homes,1.0
Local Authority,CUMBRIA,2021,Net change,Children's homes,1.0
For-profit,CUMBRIA,2021,Net change,Places,8.0
Local Authority,CUMBRIA,2023,Entries,Children's homes,1.0
For-profit,CUMBRIA,2023,Entries,Places,3.0
For-profit,CUMBRIA,2018,Exits,Places,3.0
For-profit,CUMBRIA,2016,Entries,Places,7.0
For-profit,CUMBRIA,2021,Entries,Places,12.0
Local Authority,CUMBRIA,2022,Entries,Places,14.0
Local Authority,CUMBRIA,2023,Entries,Places,6.0
Local Authority,CUMBRIA,2017,Exits,Places,19.0
For-profit,CUMBRIA,2022,Entries,Places,65.0
For-profit,CUMBRIA,2017,Entries,Places,34.0
Local Authority,CUMBRIA,2021,Net change,Places,4.0
For-profit,CUMBRIA,2020,Entries,Places,7.0
Local Authority,CUMBRIA,2019,Entries,Places,6.0
For-profit,CUMBRIA,2021,Entries,Children's homes,4.0
Local Authority,CUMBRIA,2022,Net change,Children's homes,2.0
Third Sector,CUMBRIA,2022,Net change,Children's homes,-2.0
For-profit,CUMBRIA,2022,Net change,Places,24.0
Local Authority,CUMBRIA,2022,Net change,Places,14.0
Local Authority,CUMBRIA,2014,Exits,Children's homes,1.0
Third Sector,CUMBRIA,2022,Net change,Places,-10.0
For-profit,CUMBRIA,2023,Net change,Children's homes,0.0
For-profit,CUMBRIA,2020,Entries,Children's homes,2.0
For-profit,CUMBRIA,2021,Net change,Children's homes,2.0
For-profit,CUMBRIA,2023,Net change,Places,2.0
Local Authority,CUMBRIA,2017,Exits,Children's homes,6.0
For-profit,CUMBRIA,2015,Exits,Places,0.0
Third Sector,CUMBRIA,2017,Net change,Children's homes,2.0
For-profit,CUMBRIA,2020,Net change,Children's homes,2.0
For-profit,CUMBRIA,2017,Exits,Children's homes,2.0
Local Authority,CUMBRIA,2020,Net change,Children's homes,1.0
Local Authority,CUMBRIA,2017,Net change,Children's homes,-6.0
For-profit,CUMBRIA,2017,Net change,Places,31.0
Local Authority,CUMBRIA,2017,Net change,Places,-19.0
Local Authority,CUMBRIA,2020,Net change,Places,4.0
For-profit,CUMBRIA,2019,Exits,Places,22.0
For-profit,CUMBRIA,2020,Net change,Places,7.0
Local Authority,CUMBRIA,2019,Net change,Places,6.0
For-profit,CUMBRIA,2022,Entries,Children's homes,12.0
For-profit,CUMBRIA,2023,Entries,Children's homes,1.0
For-profit,CUMBRIA,2018,Exits,Children's homes,2.0
Third Sector,CUMBRIA,2017,Entries,Children's homes,2.0
Third Sector,CUMBRIA,2017,Net change,Places,10.0
Local Authority,CUMBRIA,2019,Net change,Children's homes,1.0
For-profit,CUMBRIA,2017,Net change,Children's homes,7.0
For-profit,CUMBRIA,2019,Net change,Places,-9.0
For-profit,DARLINGTON,2022,Net change,Places,3.0
For-profit,DARLINGTON,2017,Exits,Places,9.0
For-profit,DARLINGTON,2022,Entries,Places,3.0
For-profit,DARLINGTON,2017,Net change,Children's homes,-3.0
Local Authority,DARLINGTON,2017,Net change,Children's homes,1.0
Local Authority,DARLINGTON,2017,Net change,Places,5.0
Local Authority,DARLINGTON,2017,Entries,Children's homes,1.0
Local Authority,DARLINGTON,2019,Exits,Children's homes,1.0
For-profit,DARLINGTON,2017,Net change,Places,-9.0
For-profit,DARLINGTON,2022,Net change,Children's homes,1.0
For-profit,DARLINGTON,2022,Entries,Children's homes,1.0
Local Authority,DARLINGTON,2017,Entries,Places,5.0
Local Authority,DARLINGTON,2019,Exits,Places,5.0
Local Authority,DARLINGTON,2019,Net change,Places,-5.0
For-profit,DARLINGTON,2017,Exits,Children's homes,3.0
Local Authority,DARLINGTON,2019,Net change,Children's homes,-1.0
For-profit,DERBY,2022,Net change,Places,13.0
For-profit,DERBY,2015,Exits,Children's homes,1.0
For-profit,DERBY,2022,Entries,Children's homes,5.0
For-profit,DERBY,2016,Exits,Places,12.0
For-profit,DERBY,2019,Entries,Places,7.0
Local Authority,DERBY,2018,Exits,Children's homes,2.0
For-profit,DERBY,2017,Exits,Places,17.0
For-profit,DERBY,2017,Net change,Children's homes,-1.0
For-profit,DERBY,2022,Net change,Children's homes,4.0
For-profit,DERBY,2016,Exits,Children's homes,2.0
For-profit,DERBY,2017,Net change,Places,-10.0
For-profit,DERBY,2015,Exits,Places,0.0
For-profit,DERBY,2020,Entries,Places,15.0
For-profit,DERBY,2021,Entries,Places,3.0
For-profit,DERBY,2021,Entries,Children's homes,1.0
For-profit,DERBY,2023,Entries,Children's homes,3.0
For-profit,DERBY,2014,Exits,Children's homes,1.0
Local Authority,DERBY,2018,Net change,Places,-6.0
Local Authority,DERBY,2019,Exits,Children's homes,2.0
Local Authority,DERBY,2018,Net change,Children's homes,-2.0
For-profit,DERBY,2021,Net change,Places,3.0
For-profit,DERBY,2023,Net change,Places,9.0
For-profit,DERBY,2022,Exits,Children's homes,1.0
For-profit,DERBY,2020,Entries,Children's homes,3.0
For-profit,DERBY,2017,Entries,Children's homes,2.0
For-profit,DERBY,2016,Entries,Children's homes,1.0
Local Authority,DERBY,2019,Exits,Places,6.0
For-profit,DERBY,2021,Net change,Children's homes,1.0
For-profit,DERBY,2020,Net change,Children's homes,3.0
For-profit,DERBY,2017,Exits,Children's homes,3.0
Local Authority,DERBY,2018,Exits,Places,6.0
For-profit,DERBY,2023,Net change,Children's homes,3.0
For-profit,DERBY,2017,Entries,Places,7.0
For-profit,DERBY,2019,Entries,Children's homes,2.0
For-profit,DERBY,2014,Exits,Places,0.0
For-profit,DERBY,2023,Entries,Places,9.0
For-profit,DERBY,2019,Net change,Places,7.0
For-profit,DERBY,2019,Net change,Children's homes,2.0
For-profit,DERBY,2020,Net change,Places,15.0
Local Authority,DERBY,2019,Net change,Places,-6.0
For-profit,DERBY,2022,Exits,Places,4.0
For-profit,DERBY,2016,Entries,Places,4.0
Local Authority,DERBY,2019,Net change,Children's homes,-2.0
For-profit,DERBY,2022,Entries,Places,17.0
For-profit,DERBYSHIRE,2017,Entries,Children's homes,2.0
Local Authority,DERBYSHIRE,2015,Exits,Children's homes,1.0
Local Authority,DERBYSHIRE,2019,Entries,Children's homes,1.0
For-profit,DERBYSHIRE,2016,Exits,Places,6.0
For-profit,DERBYSHIRE,2022,Entries,Children's homes,7.0
For-profit,DERBYSHIRE,2016,Entries,Places,6.0
Local Authority,DERBYSHIRE,2015,Exits,Places,0.0
Local Authority,DERBYSHIRE,2019,Entries,Places,2.0
For-profit,DERBYSHIRE,2017,Entries,Places,8.0
For-profit,DERBYSHIRE,2016,Entries,Children's homes,2.0
Local Authority,DERBYSHIRE,2018,Exits,Children's homes,2.0
Local Authority,DERBYSHIRE,2014,Exits,Places,0.0
For-profit,DERBYSHIRE,2022,Exits,Places,3.0
Local Authority,DERBYSHIRE,2014,Exits,Children's homes,1.0
Local Authority,DERBYSHIRE,2018,Exits,Places,5.0
For-profit,DERBYSHIRE,2019,Exits,Places,66.0
For-profit,DERBYSHIRE,2022,Entries,Places,23.0
For-profit,DERBYSHIRE,2023,Entries,Places,2.0
Local Authority,DERBYSHIRE,2019,Exits,Places,5.0
Local Authority,DERBYSHIRE,2021,Exits,Children's homes,1.0
For-profit,DERBYSHIRE,2018,Exits,Places,49.0
For-profit,DERBYSHIRE,2017,Net change,Places,3.0
For-profit,DERBYSHIRE,2022,Net change,Children's homes,6.0
For-profit,DERBYSHIRE,2022,Net change,Places,20.0
For-profit,DERBYSHIRE,2017,Net change,Children's homes,1.0
For-profit,DERBYSHIRE,2015,Exits,Children's homes,1.0
Local Authority,DERBYSHIRE,2018,Entries,Children's homes,1.0
For-profit,DERBYSHIRE,2021,Exits,Children's homes,4.0
For-profit,DERBYSHIRE,2016,Exits,Children's homes,2.0
For-profit,DERBYSHIRE,2021,Entries,Children's homes,9.0
Local Authority,DERBYSHIRE,2023,Exits,Children's homes,1.0
Local Authority,DERBYSHIRE,2021,Exits,Places,5.0
Local Authority,DERBYSHIRE,2018,Entries,Places,5.0
For-profit,DERBYSHIRE,2018,Exits,Children's homes,6.0
For-profit,DERBYSHIRE,2019,Net change,Places,-51.0
For-profit,DERBYSHIRE,2015,Exits,Places,0.0
For-profit,DERBYSHIRE,2018,Net change,Places,-25.0
Local Authority,DERBYSHIRE,2021,Net change,Places,0.0
Local Authority,DERBYSHIRE,2018,Net change,Children's homes,-1.0
For-profit,DERBYSHIRE,2019,Entries,Children's homes,4.0
For-profit,DERBYSHIRE,2019,Exits,Children's homes,5.0
For-profit,DERBYSHIRE,2014,Exits,Children's homes,1.0
Local Authority,DERBYSHIRE,2021,Net change,Children's homes,1.0
For-profit,DERBYSHIRE,2017,Exits,Places,5.0
For-profit,DERBYSHIRE,2021,Net change,Places,15.0
For-profit,DERBYSHIRE,2014,Exits,Places,0.0
For-profit,DERBYSHIRE,2020,Entries,Children's homes,6.0
For-profit,DERBYSHIRE,2018,Net change,Children's homes,0.0
Local Authority,DERBYSHIRE,2019,Net change,Places,-3.0
For-profit,DERBYSHIRE,2020,Entries,Places,13.0
For-profit,DERBYSHIRE,2021,Exits,Places,19.0
Local Authority,DERBYSHIRE,2021,Entries,Children's homes,2.0
For-profit,DERBYSHIRE,2020,Net change,Places,13.0
Local Authority,DERBYSHIRE,2023,Net change,Places,-1.0
For-profit,DERBYSHIRE,2020,Net change,Children's homes,6.0
Local Authority,DERBYSHIRE,2019,Net change,Children's homes,-1.0
Local Authority,DERBYSHIRE,2023,Exits,Places,1.0
Local Authority,DERBYSHIRE,2021,Entries,Places,5.0
For-profit,DERBYSHIRE,2021,Net change,Children's homes,5.0
For-profit,DERBYSHIRE,2019,Entries,Places,15.0
For-profit,DERBYSHIRE,2023,Net change,Children's homes,2.0
Local Authority,DERBYSHIRE,2023,Net change,Children's homes,-1.0
For-profit,DERBYSHIRE,2018,Entries,Children's homes,6.0
Local Authority,DERBYSHIRE,2019,Exits,Children's homes,2.0
For-profit,DERBYSHIRE,2023,Entries,Children's homes,2.0
Local Authority,DERBYSHIRE,2018,Net change,Places,0.0
For-profit,DERBYSHIRE,2023,Net change,Places,2.0
For-profit,DERBYSHIRE,2021,Entries,Places,34.0
For-profit,DERBYSHIRE,2017,Exits,Children's homes,1.0
For-profit,DERBYSHIRE,2019,Net change,Children's homes,-1.0
For-profit,DERBYSHIRE,2018,Entries,Places,24.0
For-profit,DERBYSHIRE,2022,Exits,Children's homes,1.0
For-profit,DEVON,2018,Net change,Places,5.0
For-profit,DEVON,2018,Net change,Children's homes,0.0
For-profit,DEVON,2019,Net change,Places,-19.0
For-profit,DEVON,2023,Entries,Places,7.0
Third Sector,DEVON,2014,Exits,Children's homes,2.0
For-profit,DEVON,2022,Entries,Places,8.0
Third Sector,DEVON,2020,Entries,Children's homes,1.0
Local Authority,DEVON,2014,Exits,Children's homes,1.0
Third Sector,DEVON,2020,Exits,Children's homes,4.0
For-profit,DEVON,2016,Entries,Children's homes,2.0
Local Authority,DEVON,2014,Exits,Places,0.0
Third Sector,DEVON,2016,Exits,Places,30.0
For-profit,DEVON,2023,Net change,Places,7.0
For-profit,DEVON,2020,Entries,Children's homes,10.0
For-profit,DEVON,2017,Exits,Children's homes,3.0
For-profit,DEVON,2018,Exits,Places,3.0
For-profit,DEVON,2019,Entries,Children's homes,3.0
For-profit,DEVON,2022,Exits,Children's homes,4.0
Third Sector,DEVON,2020,Entries,Places,4.0
Third Sector,DEVON,2020,Net change,Places,-51.0
Third Sector,DEVON,2020,Net change,Children's homes,-3.0
For-profit,DEVON,2017,Entries,Children's homes,5.0
For-profit,DEVON,2015,Exits,Children's homes,7.0
Local Authority,DEVON,2019,Net change,Children's homes,4.0
For-profit,DEVON,2021,Exits,Places,7.0
For-profit,DEVON,2023,Net change,Children's homes,2.0
For-profit,DEVON,2016,Exits,Children's homes,10.0
For-profit,DEVON,2019,Net change,Children's homes,-9.0
Local Authority,DEVON,2019,Net change,Places,15.0
For-profit,DEVON,2018,Exits,Children's homes,2.0
For-profit,DEVON,2018,Entries,Children's homes,2.0
For-profit,DEVON,2020,Entries,Places,23.0
For-profit,DEVON,2014,Exits,Children's homes,1.0
For-profit,DEVON,2022,Net change,Places,3.0
For-profit,DEVON,2021,Exits,Children's homes,5.0
For-profit,DEVON,2018,Entries,Places,8.0
For-profit,DEVON,2020,Net change,Places,15.0
Third Sector,DEVON,2014,Exits,Places,0.0
For-profit,DEVON,2021,Net change,Children's homes,-2.0
For-profit,DEVON,2021,Entries,Children's homes,3.0
For-profit,DEVON,2015,Exits,Places,8.0
For-profit,DEVON,2021,Net change,Places,5.0
For-profit,DEVON,2022,Entries,Children's homes,3.0
For-profit,DEVON,2021,Entries,Places,12.0
Local Authority,DEVON,2019,Entries,Children's homes,4.0
For-profit,DEVON,2022,Exits,Places,5.0
For-profit,DEVON,2020,Net change,Children's homes,8.0
For-profit,DEVON,2020,Exits,Places,8.0
For-profit,DEVON,2019,Entries,Places,7.0
For-profit,DEVON,2023,Entries,Children's homes,2.0
For-profit,DEVON,2014,Exits,Places,0.0
For-profit,DEVON,2022,Net change,Children's homes,-1.0
For-profit,DEVON,2017,Net change,Places,-16.0
For-profit,DEVON,2019,Exits,Children's homes,12.0
Third Sector,DEVON,2016,Exits,Children's homes,4.0
For-profit,DEVON,2017,Entries,Places,14.0
Third Sector,DEVON,2020,Exits,Places,55.0
For-profit,DEVON,2016,Exits,Places,29.0
For-profit,DEVON,2020,Exits,Children's homes,2.0
Local Authority,DEVON,2019,Entries,Places,15.0
For-profit,DEVON,2016,Entries,Places,3.0
For-profit,DEVON,2019,Exits,Places,26.0
For-profit,DEVON,2017,Net change,Children's homes,2.0
For-profit,DEVON,2017,Exits,Places,30.0
Third Sector,DONCASTER,2019,Exits,Places,5.0
For-profit,DONCASTER,2018,Net change,Places,2.0
For-profit,DONCASTER,2016,Exits,Children's homes,2.0
For-profit,DONCASTER,2021,Entries,Places,2.0
For-profit,DONCASTER,2016,Exits,Places,2.0
Third Sector,DONCASTER,2019,Exits,Children's homes,1.0
For-profit,DONCASTER,2020,Entries,Places,12.0
For-profit,DONCASTER,2018,Entries,Places,2.0
Third Sector,DONCASTER,2022,Exits,Children's homes,6.0
For-profit,DONCASTER,2018,Net change,Children's homes,1.0
For-profit,DONCASTER,2021,Entries,Children's homes,1.0
For-profit,DONCASTER,2021,Exits,Children's homes,7.0
For-profit,DONCASTER,2022,Exits,Children's homes,3.0
For-profit,DONCASTER,2016,Entries,Places,6.0
Local Authority,DONCASTER,2015,Exits,Children's homes,4.0
For-profit,DONCASTER,2018,Entries,Children's homes,1.0
Third Sector,DONCASTER,2022,Exits,Places,29.0
For-profit,DONCASTER,2020,Net change,Places,12.0
For-profit,DONCASTER,2016,Entries,Children's homes,2.0
Local Authority,DONCASTER,2015,Exits,Places,0.0
For-profit,DONCASTER,2021,Exits,Places,178.0
For-profit,DONCASTER,2017,Entries,Places,10.0
Local Authority,DONCASTER,2022,Exits,Places,10.0
For-profit,DONCASTER,2022,Net change,Children's homes,-3.0
Local Authority,DONCASTER,2022,Exits,Children's homes,2.0
Third Sector,DONCASTER,2017,Entries,Places,5.0
For-profit,DONCASTER,2021,Net change,Places,-176.0
For-profit,DONCASTER,2021,Net change,Children's homes,-6.0
For-profit,DONCASTER,2019,Exits,Children's homes,1.0
Local Authority,DONCASTER,2022,Entries,Children's homes,5.0
For-profit,DONCASTER,2019,Exits,Places,0.0
For-profit,DONCASTER,2017,Net change,Children's homes,4.0
Third Sector,DONCASTER,2017,Net change,Children's homes,2.0
For-profit,DONCASTER,2017,Net change,Places,10.0
Third Sector,DONCASTER,2017,Net change,Places,5.0
For-profit,DONCASTER,2020,Entries,Children's homes,4.0
For-profit,DONCASTER,2017,Entries,Children's homes,4.0
For-profit,DONCASTER,2019,Net change,Children's homes,-1.0
Third Sector,DONCASTER,2019,Net change,Children's homes,-1.0
For-profit,DONCASTER,2019,Net change,Places,0.0
Third Sector,DONCASTER,2019,Net change,Places,-5.0
Third Sector,DONCASTER,2017,Entries,Children's homes,2.0
Third Sector,DONCASTER,2015,Exits,Places,1.0
Local Authority,DONCASTER,2022,Entries,Places,24.0
Third Sector,DONCASTER,2015,Exits,Children's homes,1.0
Third Sector,DONCASTER,2022,Net change,Places,-29.0
For-profit,DONCASTER,2022,Net change,Places,-4.0
For-profit,DONCASTER,2022,Exits,Places,4.0
Local Authority,DONCASTER,2022,Net change,Children's homes,3.0
Local Authority,DONCASTER,2022,Net change,Places,14.0
For-profit,DONCASTER,2020,Net change,Children's homes,4.0
Third Sector,DONCASTER,2022,Net change,Children's homes,-6.0
Local Authority,DORSET,2018,Net change,Places,-5.0
Local Authority,DORSET,2021,Net change,Places,1.0
For-profit,DORSET,2021,Net change,Places,-70.0
Local Authority,DORSET,2017,Exits,Places,4.0
Local Authority,DORSET,2017,Exits,Children's homes,2.0
For-profit,DORSET,2016,Entries,Places,2.0
For-profit,DORSET,2020,Net change,Children's homes,2.0
Local Authority,DORSET,2018,Exits,Children's homes,2.0
Local Authority,DORSET,2022,Entries,Children's homes,2.0
For-profit,DORSET,2015,Exits,Children's homes,2.0
For-profit,DORSET,2017,Net change,Children's homes,-1.0
